Baustein_ID,Baustein_Titel,Baustein_Typ,Baustein_Prio,Baustein_von,Baustein_bis,Baustein_Zeitvon,Baustein_Zeitbis,Sensor_Nr,Sensor_Min,Sensor_Max,Min_vergangenseitmessung,zufallszahl_set,zufallszahl_position,Baustein_Text,Baustein_Vorspann,Baustein_Abspann,Baustein_Quelle,bild_name,bild_bu,bild_credit
60,"Das Aquarium als Edelpfütze",text,0,5,15,,,3,0,0,0,1,1,"Es ist gerade nicht viel los im Becken. Der Bewegungssensor meldet keine Bewegungen.Daher bleibt Zeit einen Blick auf das Aquarium zu werfen. Sie leben in 20 Liter destilliertem Wasser hinter einer »Panoramascheibe« in einem Nano-Cube. Die Grundfläche ist 25 Zentimeter x 25 Zentimeter. Fläche, das ist für Triops das entscheidende Maß. Die Höhe, nunja, Triops streben nicht zum Himmel. Unten liegt eine fingerdicke Schicht feiner Sand. Das System wird 12 Stunden am Tag beleuchtet von einer LED-Leuchte. Das Ganze hat nicht mehr wirklich viel gemein mit einer Pfütze. Die Sensordaten erfasst ein Spark Core Chip. Und weild er Bewegungsmelder nichts registriert hat, gibt es diesen Informations-Ausflug. Ein Einmachglas täts wahrscheinlich auch. Sogar ein tiefer Teller. Aber wie sähe das denn aus?",,,http://dennerle.com/de/produkte/nano-aquaristik/cubes-und-sets/nanocuber,,,
61,"Die lustige Idee eines Arschlochs",text,0,35,40,,,0,0,0,0,1,1,"Harold von Braunhut, der Erfinder der Urzeitkrebse, von dem in den vergangenen Tagen schon einmal die Rede war. Bis zu seinem Tod im Jahr 2003 wurde er als netter Opa mit den Urzeitkrebsen, als Naturschützer porträtiert. Nun berichtet die Washington Post 2003, dass Urzeit-Opi sein Geld in ganz andere Sachen investiert habe. So habe er dem Ku Klux Klan Waffen gekauft und ging regelmäßig zu den Treffen der rassistischen Aryan Nation. Finanzierte der Urzeitkrebs-Boom also amerikanische Rassisten? So bitter es ist, wahrscheinlich war es so, auch wenn Braunhut es sein Leben lang abstritt. (Die Triops hier kommen nicht von den Unternehmen.) Was trieb Braunhut dazu? Was fand der Erfinder verrückter Sachen, Inhaber von 195 Patenten an der tumben Ideologie? Wir werden es nicht erfahren. Harold Nathan Braunhut starb im Jahr 2003.","Welche Verbindung haben die Urzeit-Krebse mit dem Ku Klux Klan?","Lektion des Tages: Urzeitkrebse als Kinderspielzeug sind die lustige Idee eines Arschlochs.",http://www.nytimes.com/2003/12/21/national/21BRAU.html,,,
63,,textr,0,15,30,,,0,0,4,0,2,1,"Nichts von alldem ist schwer zu verstehen.",,,,,,
64,"Was dieser Morgen wohl bringt?",text,1,1,60,,,0,0,0,0,1,1,"Was dieser Morgen wohl bringt?",,,,,,
65,"Triops trenden auf Twitter",twitter,0,11,20,,,0,0,0,0,1,1,"Wie wird die #ursuppe heute in den sozialen Medien kommentiert? %!twitterer schreibt: %!tweet",,,,,,
66,,twitter,0,21,35,,,0,0,0,0,1,1,"Was sagt Twitter dazu an Tag %!tag? Unter dem Hashtag #ursuppe  schreibt %!twitterer: %!tweet",,,,,,
67,,twitter,0,36,45,,,0,0,0,0,1,1,"Zu etwas ganz anderem. Der kurze Blick in die sozialen Medien. %!tweet schreibt %!twitterer auf Twitter.",,,,,,
68,,text,0,46,60,,,0,0,0,0,1,1,"Dramatische Tage im Becken. Auf Twitter wird das mitfühlend verfolgt. Kevin123 (@alleinzuhaus) schreibt: ""RIP Thorsten Triops. Du fehlst. #ursuppe.""",,,,,,
69,"Die Gefahren der Nacht",textr,0,1,60,,,0,0,0,0,1,1,"Nächte sind im Leben der Triops gefährlich. Igel, Spitzmäuse, aber auch kleine Eulen sind unterwegs. Für sie sind die Triopse eiweißreiche Leckerbissen. Und Schutz bietet eine Pfütze kaum. Durch die Kälte werden die Trios zudem träge.","Die Nacht scheint ruhig im kleinen Becken am Rande des Schreibtischs.","Wenn sich die Morgensponne über den Rand des Schreibtischs schiebt, werden auch die Triops wieder aktiv.",,,,
70,"Ein Leben ohne große Träume",text,0,20,30,,,0,0,0,0,1,1,"Nachts ruhen die Triops meist. Ihre drei Augen können sie jedoch nicht schließen. Und auch Träume konnten Triops-Wissenschaftler nicht nachweisen. ","Auch zu nächtlicher Stunde bin ich, ihr Triops-Bot, live und technisch bedingt unermüdlich für Sie im Einsatz.","Auch ohne Träume sei den Triops der Schlaf der Gerechten gegönnt.",,,,
71,"High Noon",text,1,20,40,,,0,0,0,0,1,1,"Ich möchte nicht übertreiben. Aber die größte Gefahr des Lebens ist die Mittagshitze. So manche Pfütze hat sie in den letzten 220 Millionen Jahren verdunsten lassen. Und damit eine Triops-Gesellschaft in den Dauerzustand versetzt.","Die Mittagssonne ist die größte Feindin der Pfütze. Und damit der Triops.",,,,,
72,,textr,1,6,40,,,0,0,0,0,1,1,,"Das geschäftige Leben der Triops, ihr Graben und Wühlen hat das Becken verändert.",,,,,
73,"Haben Sie Eier gelegt?",head,0,35,45,,,0,0,0,0,1,1,,,,,,,
74,"Zeit für Nachmittags-Ursuppe",text,0,30,60,,,0,0,0,0,1,1,,"Schön, dass Sie sich heute Nachmittag für die Ursuppe interessieren.","Kommen Sie auch morgen nachmittag wieder vorbei?",,,,
75,"Gleich ist Fütterung!",text,1,5,55,,,0,0,0,0,1,1,"Kurz vor der Fütterung! Gleich, gegen 15 Uhr bekommen die Triops ihr Futter. Sie ernähren sich von Zooplankton, feinen Algen. Das Futter ist äußerst energiereich. Eine Messerspitze genügt ihnen. Bleiben Sie dran und werfen Sie einen Blick auf die Triops-Cam.","Gleich ist Fütterungszeit!",,,,,
76,"Guten Appetit!",text,0,5,55,,,0,0,0,0,1,1,"Gerade war Fütterung! Wenn Sie genau hinsehen, könnten Sie die Triops beim Essen beobachten. Jeden Tag gegen 15 Uhr bekommen die Triops ihr Futter. Sie ernähren sich von Zooplankton, feinen Algen. Das Futter ist äußerst energiereich. Eine Messerspitze genügt ihnen. Werfen Sie einen Blick auf die Triops-Cam.","Die Triops fressen fleißig.","Guten Algen-Appetit.",,,,
77,,head,0,5,55,,,0,0,0,0,1,1,"Gleich ist Fütterung!",,,,,,
78,"22 Mal YPS",textr,0,6,56,,,0,0,0,0,1,3,"Eine Portion nächtliches Nerdwissen: 22 Mal erschienen die Urzeitkrebse auf YPS-Heften (In den Ausgaben 25, 102, 280, 379, 476, 528, 579, 631, 681, 732, 783, 830, 886, 938, 989, 1037, 1092, 1146, 1191, 1226, 1255, 1258). Die Krebse sollten in einem Einmachglas gehalten werden. 2,50 DM kostete die erste Ausgabe mit der legendären Tüte: ""Das Pulver aus dem Urzeitkrebse wachsen"". Anfangs kam das Futter erst mit der Folgeausgabe. Dieser Cliffhanger wurde später aufgrund von Grausamkeit aufgegeben. YPS lieferte die Seamonkey-Hybriden von Erfinder Braunhut. Heute hat der Ehapa-Verlag sogar eine Urzeitkrebse-App.","Heute Nacht mit extra Nerdwissen über die Urzeitkrebse auf YPS-Heften.",,http://www.ypsfanpage.de/gimmicks/krebse.php,yps0025.jpg,"Die ersten deutschen Krebse: Yps Heft Nr. 25 von 1975.",Gruner+Jahr
79,"So klein und noch kein Krebs",text,1,2,3,,,0,0,0,0,1,1,"Jetzt, kurz nach dem Schlüpfen sind die Triops noch Larven, weißlich und durchscheinend. Doch innerhalb weniger Stunden werden sie zu Triops heranreifen. Eine in der Tierwelt fast einzigartige Blitz-Reifung.",,,,larve2.jpg,"Triops-Larve drei Stunden nach dem Schlüpfen",Wikicommons
80,,text,0,1,60,,,0,0,0,0,1,1,,,,,,,
81,"Alles hat ein Ende",head,0,55,60,,,0,0,0,0,1,1,"Alles hat ein Ende auch der Krebs hat eins",,,,,,
82,"Pfütze",head,0,24,25,,,0,0,0,0,1,1,"Die Pfütze des Herrn",,,,,,
83,"In der Pfütze viel Neues",head,0,15,18,,,0,0,0,0,1,1,"In der Pfütze viel Neues",,,,,,
84,"Die Schlacht um die Algen",head,0,11,19,,,0,0,0,0,1,1,"Die Schlacht um die Algen",,,,,,
85,Synchronschwimmen,head,0,27,30,,,0,0,0,0,1,1,"Ist das Synchronschwimmen?",,,,,,
86,"Furcht vom Austrocknen",head,0,46,49,,,0,0,0,0,1,1,"Die Furcht vorm Austrocknen",,,,,,
87,"Unter Urzeitkrebsen",head,0,17,22,,,0,0,0,0,1,1,"Unter Urzeitkrebsen",,,,,,
88,"Urzeit to go",head,0,40,44,,,0,0,0,0,1,1,"Urzeit to go",,,,,,
89,"Es brodelt",head,0,8,11,,,0,0,0,0,1,1,"Es brodelt",,,,,,
90,"Unterwasserstation meldet Krebsauflauf",textr,0,26,31,,,0,0,0,0,5,1,"Der Bewegungssensor der Unterwasserstation meldet starke Aktivität in den letzten zehn Minuten.Die Triopse sind sehr aktiv.","Unterwasserstation meldet starke Bewegung",,,,,
91,"Gedränge und Geschubse",textr,1,5,54,,,0,0,0,0,5,2,"Die Infrarot-Lichtschranke der Unterwasser-Sensorbox meldet in den letzten Minuten starke Aktivität. Die Triopse schwimmen dauernd vor dem Sensor hin und her. Eine gute Gelegenheit für einen Blick auf die Webcam. Das ist für die sonst eher bedächtigen Krebse auffällig.","Sie lesen im rechten Augenblick! Im Becken herrscht gerade helle Aufregung."," Was versetzt die Krebse in solche Unruhe? Schreiben Sie es auf Twitter, Hashtag #ursuppe.",,,,
92,Tiefenentspannung,textr,0,6,52,,,0,0,0,0,5,3,"Die Unterwasserstation kann keine Aktivität der Triopse feststellen. Sonst wird die Tupperdose am grunde des kleinen Beckens wild umschwommen. Doch vor dem Infrarot-Sensor haben sich schon seit 24 Minuten keine Bewegungen gezeigt.","Am grund des kleinen Aquariums herrscht Ruhe. ","Die Unterwasserstation ist weiter für Sie auf Sendung – Plaste an Panzer mit den Triops.",,,,
93,"Panzer an Plaste",textr,1,4,53,,,0,0,0,0,5,4,"Wie auf einem Basar schieben sich die Triopse um die Tupperdose, die als Unterwasser-Sensorstation am Beckengrund verankert ist. Erst vor wenigen Sekunden hat ein Triops den Infrarot-Sender passiert – so nah, dass er mit dem Chitinpanzer das Stationsgehäuse gestreift haben muss. Wahrscheinlich war er auf der Suche nach feinen Algen, die sich am %!tag. Tag auf dem Gehäuse angesiedelt haben.","So viel Bewegung misst die Unterwasserstation im kleinen Becken am Rande des Schreibtischs selten.",,,,,
94,,head,0,20,25,,,0,0,0,0,1,1,"Frühlingsgefühle?",,,,,,
95,"Triops an der Außenwand!",textr,0,13,32,,,0,0,0,0,6,1,"Der Bewegungs-Sensor an der rechten Außenwand hat vor 3 Minuten einen Triops erfasst. Er ist etwa zwei Finger breit über dem Grund angebracht. Können Sie ihn im Bild der Webcam erkennen?","Triops an der rechten Außenwand gespottet!",,,,,
96,Triops-Watching,textr,1,13,31,,,0,0,0,0,6,2,"So unterhaltsam kann Triops-Watching sein.","Willkommen zum Triops-Watching! Gerade stehen die Chancen gut, einen Urzeitkrebs zu beobachten. Vor zwei Minuten hat der Bewegungssensor an der rechten Außenwand ein schwimmendes Krebsobjekt detektiert.","Das Triops-Watching geht weiter! ",,,,
97,"Ja wo schwimmen sie denn?",textr,0,11,24,,,0,0,0,0,6,3,"Ja wo schwimmen sie denn? Der Bewegungssensor an der linken Außenwand hat verdächtige Bewegungen wahrgenommen. Der Triops ist also etwa zwei Finger breit über dem Beckenboden unterwegs. ","Triops-Sichtung an der linken Außenwand!",,,,,
